instantTicketingRequired,nonHomogeneous,oneWay,numberOfBookableSeats,total,base,fareOption,travelerType,cabin,fareBasis,brandedFare,class,carrierCode,number,numberOfStops,departureIataCode,aircraftCode,bagageQuantity,arrivalIataCode,ltd_year,ltd_month,ltd_day,departure_year,departure_month,departure_day,departure_hour,departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
0,0,0,7,26,9,0,0,1,22,2,11,8,41,0,0,7,1.0,10,0,0,3,0,0,0,0,8,0,0,0,1,3
0,0,0,9,26,9,0,0,1,22,2,11,8,28,0,0,4,1.0,10,0,0,3,0,0,0,8,7,0,0,0,9,1
0,0,0,9,26,9,0,0,1,22,2,11,8,40,0,0,7,1.0,10,0,0,3,0,0,0,8,5,0,0,0,8,10
0,0,0,9,26,9,0,0,1,22,2,11,8,27,0,0,4,1.0,10,0,0,3,0,0,0,6,2,0,0,0,6,7
0,0,0,4,27,9,0,0,1,22,2,11,8,4,0,0,5,1.0,6,0,0,3,0,0,0,12,3,0,0,0,11,5
0,0,0,3,27,9,0,0,1,22,2,11,8,0,0,0,6,1.0,6,0,0,3,0,0,0,3,7,0,0,0,3,9
0,0,0,4,27,9,0,0,1,22,2,11,8,3,0,0,5,1.0,6,0,0,3,0,0,0,8,5,0,0,0,8,7
0,0,0,1,27,9,0,0,1,22,2,11,8,0,0,0,6,1.0,6,0,0,3,0,0,0,3,7,0,0,0,3,9
0,0,0,9,28,14,0,0,1,9,5,4,6,23,0,0,2,0.0,0,0,2,0,0,0,0,6,4,0,0,0,6,8
0,0,0,9,29,14,0,0,1,9,5,4,6,9,0,0,9,0.0,0,0,2,0,0,0,0,3,6,0,0,0,3,10
0,0,0,9,29,14,0,0,1,9,5,4,6,8,0,0,9,0.0,0,0,2,0,0,0,0,2,8,0,0,0,3,0
0,0,0,9,29,14,0,0,1,9,5,4,6,8,0,0,9,0.0,0,0,2,0,0,0,0,2,8,0,0,0,3,0
0,0,0,9,29,14,0,0,1,9,5,4,6,13,0,0,9,0.0,0,0,2,0,0,0,0,13,3,0,0,0,13,4
0,0,0,9,29,14,0,0,1,9,5,4,6,12,0,0,9,0.0,0,0,2,0,0,0,0,12,7,0,0,0,11,10
0,0,0,7,29,14,0,0,1,9,5,4,6,11,0,0,9,0.0,0,0,2,0,0,0,0,8,6,0,0,0,8,8
0,0,0,4,29,14,0,0,1,9,5,4,6,10,0,0,9,0.0,0,0,2,0,0,0,0,4,3,0,0,0,4,6
0,0,0,3,29,14,0,0,1,9,5,4,6,13,0,0,9,0.0,0,0,2,0,0,0,0,13,3,0,0,0,13,4
0,0,0,1,29,14,0,0,1,9,5,4,6,11,0,0,9,0.0,0,0,2,0,0,0,0,8,6,0,0,0,8,8
0,0,0,9,30,18,0,0,1,8,6,4,2,36,0,0,10,0.0,4,0,0,2,0,0,0,14,9,0,0,0,15,7
0,0,0,9,31,12,0,0,1,26,2,14,12,35,0,0,4,1.0,3,0,0,3,0,0,0,3,11,0,0,0,4,0
0,0,0,9,31,12,0,0,1,26,2,14,12,34,0,0,4,1.0,3,0,0,3,0,0,0,2,6,0,0,0,2,5
0,0,0,9,32,13,0,0,1,26,2,14,8,5,0,0,5,1.0,6,0,0,3,0,0,0,1,8,0,0,0,1,10
0,0,0,9,32,13,0,0,1,26,2,14,8,6,0,0,6,1.0,6,0,0,3,0,0,0,0,0,0,0,0,0,3
0,0,0,8,32,13,0,0,1,26,2,14,8,1,0,0,6,1.0,6,0,0,3,0,0,0,4,6,0,0,0,4,8
0,0,0,6,32,13,0,0,1,26,2,14,8,1,0,0,6,1.0,6,0,0,3,0,0,0,4,6,0,0,0,4,8
