,instantTicketingRequired,nonHomogeneous,oneWay,lastTicketingDate,numberOfBookableSeats,total,base,fareOption,travelerType,cabin,fareBasis,brandedFare,class,carrierCode,number,numberOfStops,departureIataCode,departureAt,aircraftCode,bagageQuantity,arrivalIataCode,arrivalAt
60,False,False,False,2023-04-12,9,317.67,259.00,STANDARD,ADULT,ECONOMY,JWFLX,,J,VY,8243,0,CDG,2023-11-11T07:00:00,320,,BCN,2023-11-11T08:50:00
61,False,False,False,2023-04-14,9,338.53,194.00,STANDARD,ADULT,ECONOMY,Q03CLSEH,CLASSIC,Q,LH,2239,0,CDG,2023-11-11T06:10:00,32A,1.0,MUC,2023-11-11T07:35:00
62,False,False,False,2023-11-11,9,345.93,174.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1824,0,CDG,2023-11-11T13:50:00,333,,IST,2023-11-11T19:20:00
63,False,False,False,2023-11-11,9,345.93,174.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1822,0,CDG,2023-11-11T11:30:00,333,,IST,2023-11-11T16:55:00
64,False,False,False,2023-11-11,9,345.93,174.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1830,0,CDG,2023-11-11T07:20:00,321,,IST,2023-11-11T12:45:00
65,False,False,False,2023-11-11,9,350.93,179.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1830,0,CDG,2023-11-11T07:20:00,321,,IST,2023-11-11T12:45:00
66,False,False,False,2023-11-11,9,350.93,179.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1828,0,CDG,2023-11-11T18:55:00,333,,IST,2023-11-12T00:20:00
67,False,False,False,2023-11-11,9,350.93,179.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1828,0,CDG,2023-11-11T18:55:00,333,,IST,2023-11-12T00:20:00
68,False,False,False,2023-11-11,9,355.93,184.00,STANDARD,ADULT,ECONOMY,VLYCLR,CL,V,TK,1828,0,CDG,2023-11-11T18:55:00,333,,IST,2023-11-12T00:20:00
69,False,False,False,2023-04-14,9,433.62,270.00,STANDARD,ADULT,ECONOMY,U03CLSEH,CLASSIC,U,LH,1051,0,CDG,2023-11-11T07:45:00,321,1.0,FRA,2023-11-11T09:00:00
70,False,False,False,2023-04-14,9,483.26,296.00,STANDARD,ADULT,BUSINESS,PX0BUZEH,BUSINESS,P,LH,1041,0,CDG,2023-11-11T18:30:00,319,2.0,FRA,2023-11-11T19:45:00
71,False,False,False,2023-04-14,9,582.26,395.00,STANDARD,ADULT,BUSINESS,ZX0BUZEH,BUSINESS,Z,LH,1035,0,CDG,2023-11-11T14:25:00,321,2.0,FRA,2023-11-11T15:40:00
72,False,False,False,2023-04-14,9,593.53,443.00,STANDARD,ADULT,ECONOMY,BEUCLSP0,CLASSIC,B,LH,4083,0,CDG,2023-11-11T05:40:00,32N,1.0,MUC,2023-11-11T07:15:00
73,False,False,False,2023-04-14,9,713.53,572.00,STANDARD,ADULT,ECONOMY,VEUCLSP0,CLASSIC,V,LH,2233,0,CDG,2023-11-11T18:05:00,32A,1.0,MUC,2023-11-11T19:30:00
74,False,False,False,2023-04-14,7,1935.62,1611.00,STANDARD,ADULT,ECONOMY,HLN0C0B4,ELIGHT,H,AY,5773,0,CDG,2023-11-11T10:40:00,788,2.0,MIA,2023-11-11T15:00:00
75,False,False,False,2023-04-14,1,1947.62,1623.00,STANDARD,ADULT,ECONOMY,HLN0C0B4,ELIGHT,H,AY,5809,0,CDG,2023-11-11T09:30:00,772,2.0,JFK,2023-11-11T12:05:00
